Title,Year,Votes,Rating
A Big Hand for the Little Lady,1966,2489,7.4
A Bill of Divorcement,1932,855,6.6
A Bird of the Air,2011,733,6.5
A Blueprint for Murder,1953,573,6.8
A Boy Named Charlie Brown,1969,2558,7.3
A Boy and His Dog,1975,10253,6.6
A Boyfriend for Christmas,2004,1337,6.5
A Breed Apart,1984,761,5.3
A Bride for Christmas,2012,850,6.4
A Bridge Too Far,1977,33518,7.4
A Brief History of Time,1991,2497,7.5
A Brief History of the United States of America,2002,653,7
A Bright Shining Lie,1998,1088,6.5
A Bronx Tale,1993,80477,7.8
A Bucket of Blood,1959,3274,6.8
A Bug's Life,1998,164050,7.2
A Bullet for Joey,1955,517,6
A Bunch of Amateurs,2008,773,6.1
A Busca,2012,522,6.7
A Busy Day,1914,509,4.9
A Canterbury Tale,1944,2885,7.7
A Can¡Ño de Lisboa,1933,686,7.8
A Carol Christmas,2003,631,5.4
A Case of You,2013,3603,5.6
A Change of Seasons,1980,575,5.2
A Charlie Brown Christmas,1965,16075,8.4
A Charlie Brown Thanksgiving,1973,3173,7.8
A Child Is Waiting,1963,1475,7.4
A Chorus Line,1985,6505,6
A Christmas Carol,1938,3252,7.5
A Christmas Carol,1971,615,7.8
A Christmas Carol,1984,6336,7.9
A Christmas Carol,1999,4911,7.4
A Christmas Carol,2004,1175,6.3
A Christmas Carol,2009,52579,6.8
A Christmas Kiss,2011,1350,6.2
A Christmas Story,1983,87529,8.1
A Christmas Story 2,2012,849,3.6
A Chump at Oxford,1940,2048,7.4
A Cinderella Story,2004,45779,5.8
A Cinderella Story: Once Upon a Song,2011,5679,6.2
A Civil Action,1998,20309,6.5
A Clockwork Orange,1971,395276,8.4
A Close Shave,1995,23998,8.3
A Cock and Bull Story,2005,10323,6.8
A Colbert Christmas: The Greatest Gift of All!,2008,715,7.6
A Common Man,2013,1338,4.7
A Complete History of My Sexual Failures,2008,3204,6.3
A Com»dia de Deus,1995,692,7.6
A Connecticut Yankee in King Arthur's Court,1949,1417,6.7
"A Cool, Dry Place",1998,2177,6.3
A Cooler Climate,1999,520,6.6
A Corner in Wheat,1909,1219,6.6
A Corny Concerto,1943,971,7.3
A Countess from Hong Kong,1967,3031,6
A Crack in the Floor,2001,879,3.3
A Crime,2006,1383,5.8
A Crude Awakening: The Oil Crash,2006,1651,7.9
A Cry for Help: The Tracey Thurman Story,1989,623,7.7
A Cry in the Wild,1990,608,5.4
A Damsel in Distress,1937,1065,7
A Dangerous Man,2009,2915,5.1
A Dangerous Method,2011,62685,6.5
A Dangerous Woman,1993,1015,6
A Date with Judy,1948,669,6.6
A Day Without a Mexican,2004,2619,4.7
A Day at the Races,1937,8955,7.7
A Day's Pleasure,1919,1527,6.8
A Decade Under the Influence,2003,1934,7.6
A Dennis the Menace Christmas,2007,1008,4.9
A Detective Story,2003,2226,7.3
A Different Loyalty,2004,1085,5
A Dirty Shame,2004,9667,5.1
A Diva's Christmas Carol,2000,726,6.4
A Dog Year,2009,1694,6.1
A Dog of Flanders,1999,702,6.3
A Dog's Breakfast,2007,3056,7
A Dog's Life,1918,3382,7.8
A Doll's House,1973,657,6.5
A Dona da Hist€ria,2004,543,6.6
A Double Life,1947,1787,7.1
A Dry White Season,1989,2929,7
A Face in the Crowd,1957,8057,8.2
"A Fairly Odd Movie: Grow Up, Timmy Turner!",2011,1190,5
A Family Thing,1996,2339,6.9
A Fantastic Fear of Everything,2012,6451,5.8
A Far Off Place,1993,2440,6.6
A Farewell to Arms,1932,2816,6.6
A Farewell to Arms,1957,1509,6
A Few Best Men,2011,7326,5.8
A Few Good Men,1992,148228,7.6
A Field in England,2013,3742,6.2
A Film Johnnie,1914,699,5.6
A Film with Me in It,2008,2549,6.7
A Fine Madness,1966,731,6
A Fine Mess,1986,1004,4.3
