Title,Year,Votes,Rating
A Slipping-Down Life,1999,854,6.3
A Smile Like Yours,1997,1073,4.7
A Smile as Big as the Moon,2012,530,7.7
A Smoky Mountain Christmas,1986,602,7.1
A Soldier's Daughter Never Cries,1998,2034,6.9
A Soldier's Story,1984,5552,7.3
A Soldier's Sweetheart,1998,507,6.3
A Song Is Born,1948,1389,7.1
A Song to Remember,1945,747,6.9
A Sound of Thunder,2005,14604,4.1
A Star Is Born,1937,4531,7.7
A Star Is Born,1954,9164,7.9
A Star Is Born,1976,4145,6.5
A State of Mind,2004,832,7.8
A Stitch in Time,1963,558,7
A Stolen Life,1946,1641,7.5
A Stranger Among Us,1992,2409,5.7
A Streetcar Named Desire,1951,65012,8.1
A Streetcar Named Desire,1995,728,6.8
A Study in Choreography for Camera,1945,724,6.3
A Study in Terror,1965,904,6.7
A Summer Place,1959,1781,7
A Summer Story,1988,565,7.6
A Tale of Two Cities,1935,3410,7.9
A Tale of Two Cities,1958,893,7.2
A Taste of Honey,1961,2195,7.7
A Teacher,2013,1252,5.1
A Thin Line Between Love and Hate,1996,2415,5.4
A Thousand Acres,1997,3919,6
A Thousand Clowns,1965,2152,7.7
A Thousand Cuts,2012,640,5.5
A Thousand Words,2012,23932,5.9
A Thousand Years of Good Prayers,2007,860,6.7
A Time for Dancing,2002,736,6
A Time to Kill,1996,77569,7.4
A Time to Love and a Time to Die,1958,1482,7.8
A Touch of Class,1973,1632,6.5
A Town Like Alice,1956,784,7.3
A Tree Grows in Brooklyn,1945,4593,8.2
A Troll in Central Park,1994,3193,5.2
A Very Brady Christmas,1988,962,5.5
A Very Brady Sequel,1996,7149,5.5
A Very British Gangster,2007,898,6.3
A Very Harold & Kumar 3D Christmas,2011,44608,6.4
A Very Potter Musical,2009,1597,8.4
A Very Potter Sequel,2010,902,8.4
A Very Unlucky Leprechaun,1998,521,1.6
A View to a Kill,1985,53413,6.3
A Viking Saga: The Darkest Day,2013,856,4.3
A Walk in the Clouds,1995,20113,6.6
A Walk in the Sun,1945,2385,7.4
A Walk on the Moon,1999,5909,6.6
A Walk to Remember,2002,121337,7.4
A Warrior's Heart,2011,1638,5.5
A Way of Life,2004,517,6.8
A Wedding,1978,2117,7.1
A Wednesday,2008,16423,8.5
A Wild Hare,1940,785,7.9
A Wish for Wings That Work,1991,625,7.6
A Woman,1915,818,6.5
A Woman Called Golda,1982,508,7.6
A Woman Under the Influence,1974,10261,8.2
A Woman of Affairs,1928,797,8
A Woman of Paris: A Drama of Fate,1923,2656,7.2
A Woman's Face,1941,1279,7.2
A Woman's Secret,1949,675,6.1
A World Apart,1988,1036,7.1
A Wrinkle in Time,2003,1373,5.8
A Yank at Oxford,1938,700,6.8
A Yank in the R.A.F.,1941,685,6.5
A Year and a Half in the Life of Metallica,1992,821,8
A Year in Mooring,2011,568,5.6
A Zed & Two Noughts,1985,4094,7.4
A fost sau n-a fost?,2006,4819,7.4
A hÃdember,2002,540,4.7
A leg»nyanya,1989,677,7.9
A londoni f»rfi,2007,2050,7.1
A mi madre le gustan las mujeres,2002,1332,6.3
A miniszter f»lrel»p,1997,1268,7
A nagy f∏zet,2013,602,7.1
A nyomoz€,2008,1362,7.7
A pog∑ny madonna,1980,623,7.8
A tan?,1969,2740,8.2
A tizedes meg a tàbbiek,1965,937,8.4
A torin€i l€,2011,7138,7.7
A vizsga,2011,624,7.5
A zori zdes tikhie,1972,1586,8.3
A-Haunting We Will Go,1942,588,6.4
A-List,2006,1494,5.5
A-i-deul...,2011,944,7.3
A-leum-dab-da,2008,711,6.7
A.C.O.D.,2013,5512,5.7
A.I. Assault,2006,777,2.8
A.P.E.X.,1994,728,4.3
A.R.O.G,2008,12451,7.2
A/k/a Tommy Chong,2006,547,7.4
A3 - Rock'n'Roll uzvraca udarac,2006,1062,4.7
ABBA: The Movie,1977,2044,6.4
ABCD Any Body Can Dance,2013,3496,6.5
AC/DC: Family Jewels,2005,515,8.1
AC/DC: Let There Be Rock,1980,709,8.3
AC/DC: Live at Donington,1992,915,8.4
ACAB: All Cops Are Bastards,2012,3623,6.6
AE: Apocalypse Earth,2013,980,3.2
AFI's 100 Years... 100 Movies: America's Greatest Movies,1998,564,7
AKA,2002,916,6.3
ATL,2006,7547,5.8
ATM,2012,14687,4.6
AV,2005,569,6.8
AVH: Alien vs. Hunter,2007,3143,1.5
AVP: Alien vs. Predator,2004,113372,5.5
AVPR: Aliens vs Predator - Requiem,2007,75678,4.7
Aa Ab Laut Chalen,1999,973,5.4
Aa Dekhen Zara,2009,594,5
Aa! Megamisama!,1993,790,7.6
Aa! Megamisama! The Movie,2000,827,7.4
Aaahh Belinda,1986,579,7.6
Aachi & Ssipak,2006,1048,7
Aadhavan,2009,906,4.7
Aadukalam,2011,1255,7.8
Aaja Nachle,2007,1725,6.5
Aakhree Raasta,1986,540,7.3
Aakrosh,2010,1551,7
Aalavandhan,2001,867,7.1
Aaltra,2004,2076,7.1
Aamir,2008,4487,7.8
Aan: Men at Work,2004,1046,5.1
Aandhi,1975,506,7.8
Aankhen,1993,805,6.8
Aankhen,2002,3065,7.4
Aanrijding in Moscou,2008,2577,7.3
Aap Kaa Surroor: The Moviee - The Real Luv Story,2007,1053,2.2
Aap Ki Khatir,2006,544,3.7
Aap Mujhe Achche Lagne Lage,2002,1270,3.1
Aarakshan,2011,2768,6.2
Aaranya Kaandam,2010,958,7.9
Aasef ala el-iz'ag,2008,841,8.1
Aashayein,2010,679,7.1
Aashiq Banaya Aapne: Love Takes Over,2005,728,4
Aashiqui,1990,853,6.2
Aashiqui 2,2013,12751,7.2
Aathi,2006,800,3.7
Aayirathil Oruvan,2010,1245,7.5
Ab Tak Chhappan,2004,2436,7.9
Abandon,2002,7270,4.8
Abandoned,2010,3744,5
Abbott and Costello Go to Mars,1953,2192,6.5
Abbott and Costello Meet Captain Kidd,1952,1550,6.6
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,1953,2716,6.7
Abbott and Costello Meet the Invisible Man,1951,2970,7
Abbott and Costello Meet the Keystone Kops,1955,1582,7.1
"Abbott and Costello Meet the Killer, Boris Karloff",1949,2466,7.1
Abbott and Costello Meet the Mummy,1955,3196,6.5
Abbott and Costello in the Foreign Legion,1950,2047,6.8
Abbuzze! Der Badesalz Film,1996,647,6.5
Abduction,2011,52996,4.9
Abe Lincoln in Illinois,1940,1116,7.5
Abel,1986,1450,7.7
Abel,2010,1001,6.8
Abeltje,1998,915,5.9
Aberdeen,2000,2264,7.3
Aberration,1997,654,4.6
Abgeschminkt!,1993,502,6.6
Abhijaan,1962,513,7.8
Abhimaan,1973,1349,7.9
Abimm,2009,985,5.9
Abismos de pasi€n,1954,737,7
Abominable,2006,2844,5.1
About Adam,2000,4891,6.1
About Cherry,2012,5561,4.8
About Last Night,2014,4742,6.1
About Last Night...,1986,9665,6.1
About Love,2005,612,7.3
About Schmidt,2002,94379,7.2
About Time,2013,103613,7.8
About a Boy,2002,121441,7.1
Above Suspicion,1943,1076,6.4
Above Suspicion,1995,1228,6.8
Above Us the Waves,1955,655,6.6
Above and Beyond,1952,696,7
Above the Law,1988,18177,5.9
Above the Rim,1994,7632,6.6
Abraham,1993,597,6.8
Abraham Lincoln,1930,829,5.9
Abraham Lincoln vs. Zombies,2012,2631,3.2
Abraham Lincoln: Vampire Hunter,2012,104582,6
"Abraxas, Guardian of the Universe",1990,1066,2.6
Abre los ojos,1997,44371,7.8
Abril Despeda¡ado,2001,5038,7.7
Absence of Malice,1981,7694,6.9
Absence of the Good,1999,535,5.3
Absentia,2011,8269,5.8
Absolon,2003,2521,4.3
Absolument fabuleux,2001,702,4.4
Absolute Beginners,1986,2005,5.5
Absolute Giganten,1999,2638,7.8
Absolute Power,1997,32750,6.7
Absolute Zero,2006,1102,3.3
Absolution,1978,665,6.4
Absurdistan,2008,1234,6.8
Abuzer Kadayif,2000,1057,5
Abwârts,1984,731,6.9
Accattone,1961,3872,7.8
Accepted,2006,89031,6.5
Accident,1967,1769,7.1
Accidents Happen,2009,2095,6.2
Acci€n mutante,1993,3074,6.5
According to Spencer,2001,537,4.5
Accused at 17,2009,572,5.2
Ace Ventura: Pet Detective,1994,160811,6.9
Ace Ventura: Pet Detective Jr.,2009,3379,2
Ace Ventura: When Nature Calls,1995,120000,6.2
Ace in the Hole,1951,14454,8.2
Aces High,1976,1456,6.6
Aces: Iron Eagle III,1992,2069,3.3
Achtste Groepers Huilen Niet,2012,1026,7.7
"Achtung, fertig, Charlie!",2003,857,5
Aci ask,2009,993,5.5
Acolytes,2008,1560,5.7
Acqua e sapone,1983,590,6.4
Across 110th Street,1972,2543,7.1
Across the Hall,2009,2998,6.1
Across the Line: The Exodus of Charlie Wright,2010,902,5.3
Across the Pacific,1942,2553,6.9
Across the Tracks,1990,1593,5.7
Across the Universe,2007,80077,7.5
Across the Wide Missouri,1951,1161,6.3
Across to Singapore,1928,739,7.5
Act of Valor,2012,48744,6.5
Act of Violence,1948,2442,7.5
Action Jackson,1988,6332,5
Action Replayy,2010,2324,3.9
Action in the North Atlantic,1943,2034,7
Actrices,2007,547,5.8
Ad Fundum,1993,830,6.6
Ad ogni costo,1967,638,7
Ada,1961,520,6.7
Ada apa dengan cinta?,2002,812,7.5
Ada: Zombilerin d∏g∏n∏,2010,900,5.1
Adam & Eva,1997,1927,6.1
Adam & Evil,2004,622,3.1
Adam & Paul,2004,1681,7.1
Adam & Steve,2005,2461,6
Adam,2009,23891,7.3
Adam Chaplin,2011,675,5.2
Adam Resurrected,2008,2710,6.3
Adam and Dog,2011,1594,7
Adam and Eve,2005,2333,4.6
Adam barfi,1995,725,7.1
Adam's Rib,1949,13526,7.6
Adama Meshuga'at,2006,557,7.3
Adaminte Makan Abu,2011,785,7.8
Adams  bler,2005,26118,7.9
Adaptation.,2002,119324,7.8
Addams Family Reunion,1998,2366,3.8
Addams Family Values,1993,43934,6.5
Addicted to Love,1997,17390,6.1
Addio zio Tom,1971,759,7
Adele Live at the Royal Albert Hall,2011,564,8.2
Adem,2010,769,7.2
Adem'in trenleri,2007,896,6.8
Adhurs,2010,571,6.6
Adieu Berthe - L'enterrement de m»m»,2012,513,5.9
Adieu l'ami,1968,1379,7.1
"Adieu, plancher des vaches!",1999,691,7.2
"Adieu, poulet",1975,676,7.1
Admiral,2008,4766,6.9
Admission,2013,20118,5.7
Adoration,2008,2487,6.4
Adore,2013,13385,6.2
Adorenarin doraibu,1999,715,7.1
Adrenalin: Fear the Rush,1996,2715,3.8
Adrift in Manhattan,2007,1315,5.4
Adult World,2013,4394,6.1
Adulthood,2008,7876,6.7
Adventureland,2009,108381,6.8
Adventures in Babysitting,1987,22336,6.8
Adventures in Dinosaur City,1991,636,3.8
Adventures of Captain Marvel,1941,583,7.7
Adventures of Don Juan,1948,1813,7
Adventures of Power,2008,1636,6.4
Advise & Consent,1962,4019,7.8
Ad»la jeste nevecerela,1978,661,7.8
Ae Fond Kiss...,2004,5270,7.2
Aegan,2008,829,4.9
Aein,2005,550,6.2
Aelita,1924,1310,6.6
Aenigma,1987,986,4.7
Aetbaar,2004,635,4.7
Afblijven,2006,718,5.6
Affair in Trinidad,1952,973,6.7
Affinity,2008,1380,6.5
Afflicted,2013,2457,6.5
Affliction,1997,10437,7
Afghan Knights,2007,637,3.1
Afghan Luke,2011,507,5.3
Afghan Star,2009,746,7.3
Afonya,1975,1374,8.2
Afraid of the Dark,1991,755,5.8
Africa Screams,1949,2523,6.5
Africa United,2010,1045,6.6
Africa addio,1966,779,7.2
Africa: The Serengeti,1994,512,7.4
African Cats,2011,4142,7.5
Afro Samurai: Resurrection,2009,5469,7.3
Afstiros katallilo,2008,625,6.2
After Alice,2000,1368,5.2
"After Dark, My Sweet",1990,2066,6.6
After Death Oltre la morte,1989,1409,3.6
After Earth,2013,116674,5
"After Fall, Winter",2011,550,6.6
After Hours,1985,30679,7.7
After Innocence,2005,595,7.8
After Last Season,2009,5717,8
After Midnight,1989,817,5.6
After Porn Ends,2010,2237,5.9
After School Special,2003,4595,4.9
After Sex,2000,668,4.5
After Sex,2007,5899,5.7
After the Promise,1987,565,7.6
After the Sunset,2004,33524,6.3
After the Thin Man,1936,5890,7.7
After...,2006,703,3.3
After.Life,2009,25126,6
Afterglow,1997,2717,6.2
Aftermath,1994,3317,6.1
Aftermath: Population Zero,2008,821,6.9
Afternoon Delight,2013,3774,5.8
Afterschool,2008,2715,6.2
Aftershock,2012,5879,4.9
Aftershock: Earthquake in New York,1999,1375,5.2
Afterwards,2008,2625,5.9
Ag-o,1996,973,6.8
Against All Flags,1952,1247,6.8
Against All Odds,1984,6737,5.8
Against the Current,2009,827,6.2
Against the Dark,2009,3708,3.2
Against the Ropes,2004,5262,5.2
Against the Wall,1994,1565,6.8
Agantuk,1991,996,7.9
Agata e la tempesta,2004,910,6.7
Agatha,1979,1479,6.3
Agatha Christie's Miss Marple: A Caribbean Mystery,1989,688,7.1
Agatha Christie's Miss Marple: A Murder Is Announced,1985,762,7.9
Agatha Christie's Miss Marple: A Pocket Full of Rye,1985,640,7.4
Agatha Christie's Miss Marple: At Bertram's Hotel,1987,634,7.4
Agatha Christie's Miss Marple: Sleeping Murder,1987,640,7.6
Agathe Cl»ry,2008,503,4.7
Age of Consent,1969,1425,6.5
Age of Dinosaurs,2013,1035,3
Age of Heroes,2011,6960,5.6
Age of the Dragons,2011,3427,3.3
Agent Cody Banks,2003,20758,5
Agent Cody Banks 2: Destination London,2004,8584,4.4
Agent Red,2000,786,3
Agent Vinod,2012,4737,5.1
Agent for H.A.R.M.,1966,1000,1.8
Agents of Secret Stuff,2010,620,8.1
Agents secrets,2004,3384,5.5
Agir roman,1997,4329,7.8
Agneepath,1990,3114,7.8
Agneepath,2012,10269,7
Agnes Browne,1999,1666,6.5
Agnes of God,1985,4795,6.6
Agnes und seine Br∏der,2004,1431,6.8
Agni,2014,541,7.8
Agni Natchathiram,1988,525,7.8
Agnosia,2010,948,5.5
Agoniya,1981,673,7.1
Agora,2009,41624,7.2
"Aguirre, der Zorn Gottes",1972,30858,8
Aguner Poroshmoni,1995,611,8.4
Ah Long dik goo si,1989,700,7.3
Ah fei zing zyun,1990,8955,7.6
Ah nerede,1975,1292,7.7
Ah! Si j'»tais riche,2002,955,6
"Ah, L'Amour",1995,1052,7.3
Ahgiwa na,2008,566,6.9
Ahista Ahista,2006,830,7.3
AhÃ est∑ el detalle,1940,521,8.4
AhÃ va el diablo,2012,1228,5.7
Ai,2012,692,6.7
Ai Weiwei: Never Sorry,2012,2384,7.6
Ai no borei,1978,1982,7
Ai no kor”da,1976,10513,6.6
Ai no mukidashi,2008,4914,8.2
Ai qing wan sui,1994,1771,7.5
Aile serefi,1976,784,8.1
Aileen Wuornos: The Selling of a Serial Killer,1992,1129,7
Aileen: Life and Death of a Serial Killer,2003,2943,7.2
Aim»e & Jaguar,1999,4550,7.3
Ain't Them Bodies Saints,2013,10105,6.5
Air America,1990,18217,5.6
Air Bud,1997,10446,5
Air Bud 3: World Pup,2001,1466,4.5
Air Bud: Golden Receiver,1998,3563,4.3
Air Bud: Seventh Inning Fetch,2002,1106,4.3
Air Bud: Spikes Back,2003,1005,3.9
Air Buddies,2006,1672,4.9
Air Collision,2012,591,2.8
Air Force,1943,1823,7.2
Air Force One,1997,120230,6.4
Air Guitar Nation,2006,1183,7.2
Air Raid Wardens,1943,541,6.2
Airbag,1997,2574,6.7
Airborne,1993,4472,6.1
Airborne,1998,510,3
Airborne,2012,1776,3.9
Airheads,1994,31601,6
Airline Disaster,2010,786,2.5
Airplane II: The Sequel,1982,27585,6
Airplane!,1980,124577,7.8
Airport '77,1977,5810,5.5
Airport,1970,10906,6.6
Airport 1975,1974,5808,5.4
Airspeed,1999,1015,3.4
Airwolf,1984,1614,6.8
Aisha,2010,2289,4.9
Aitraaz,2004,2817,6.5
Aiyyaa,2012,937,4.4
Ajab Prem Ki Ghazab Kahani,2009,4994,6.2
Ajami,2009,4200,7.3
Ajans-E Shisheh-I,1999,2109,8.2
Ajeossi,2010,29153,7.9
Ajnabee,2001,2007,6.2
Ajooba,1991,600,5
Akaash Vani,2013,734,5.9
Akadimia Platonos,2009,728,6.5
Akahige,1965,9172,8.2
Akai hashi no shita no nurui mizu,2001,1949,6.9
Akai misshitsu heya  : Kindan no Ÿsama geemu,1999,553,4.9
Akai satsui,1964,703,7.8
Akai tenshi,1966,778,7.9
Akarui mirai,2003,1851,7
Akasen chitai,1956,1657,8
Akasia,2003,1510,5.9
Akeelah and the Bee,2006,13098,7.5
Akele Hum Akele Tum,1995,2199,7.1
Akibiyori,1960,1788,8.1
Akira,1988,75710,8.1
Akiresu to kame,2008,2037,7.5
Akitsu onsen,1962,758,8
Akmareul boatda,2010,49247,7.8
Aks,2001,1070,5.9
Aku no kyŸten,2012,1434,6.8
Akumu tantei,2006,1705,6.3
Akumul∑tor 1,1994,985,7.4
Akunin,2010,718,7.3
Al Capone,1959,945,6.7
Al di lá della legge,1968,630,6.3
Al di lá delle nuvole,1995,3992,6.5
Al midan,2013,3675,8.2
Al sur de Granada,2003,577,6.2
Al-irhab wal kabab,1993,582,7.6
Al-massir,1997,1339,7.3
Al-risÇlah,1976,1174,8.4
Al-too-bi: Riteon Too Beiseu,2012,876,6
Alabama Moon,2009,788,6.7
Aladdin,1992,181537,8
Aladdin and the King of Thieves,1996,20189,6.3
Aladin,2009,1532,4.6
Alag: He Is Different.... He Is Alone...,2006,765,4.2
Alaipayuthey,2000,1264,7.9
Alamar,2009,1666,7.2
Alamo Bay,1985,669,6.2
Alan Partridge: Alpha Papa,2013,14902,7.1
Alaska,1996,3745,5.7
Alatriste,2006,8924,6.1
Albatross,2011,2591,6.3
Albert Fish: In Sin He Found Salvation,2007,573,5.9
Albert Nobbs,2011,15686,6.7
Albino Alligator,1996,5975,6.1
Albino Farm,2009,1197,3.9
Alceste á bicyclette,2013,1084,6.7
Aleksandr Nevskiy,1938,6969,7.7
Aleksandra,2007,1915,6.9
Alex & Emma,2003,10104,5.5
Alex Cross,2012,22646,5.1
Alex in Wonderland,1970,526,5.1
Alex l'ariete,2000,529,1.7
Alexander,2004,116398,5.5
Alexander the Great,1956,2126,5.9
Alexander's Ragtime Band,1938,1125,7.1
Alexandra's Project,2003,3789,6.6
Alexandre le bienheureux,1968,1006,7.4
Alexis Zorbas,1964,12662,7.8
Alferd Packer: The Musical,1993,9058,7.3
Alfie,1966,8696,7.1
Alfie,2004,36944,6.2
Alfred the Great,1969,714,6.3
"Alfredo, Alfredo",1972,540,6.4
Algiers,1938,1429,6.9
Ali,2001,65879,6.7
Ali Baba Bunny,1957,1096,7.7
Ali Baba and the Forty Thieves,1944,687,6.5
Ali Baba et les 40 voleurs,1954,566,6.1
Ali G Indahouse,2002,56154,6.2
"Ali G, Aiii",2000,1221,7.4
"Ali G, Innit",1999,626,7.3
Ali G: Bling Bling,2001,766,7
"Ali Zaoua, prince de la rue",2000,1674,7.5
Alias,2002,709,5.4
Alias Jesse James,1959,778,6.6
Alibi,2008,539,5.8
Alice,1990,8534,6.6
Alice,2005,1493,7.4
Alice Adams,1935,2256,7.1
Alice Doesn't Live Here Anymore,1974,12520,7.4
Alice Through the Looking Glass,1998,975,5.8
Alice Upside Down,2007,857,5.6
Alice et Martin,1998,1396,6.4
Alice in Murderland,2010,643,1.9
Alice in Wonderland,1903,1438,6.3
Alice in Wonderland,1933,1153,6.6
Alice in Wonderland,1951,71971,7.4
Alice in Wonderland,1985,2005,7.4
Alice in Wonderland,1999,5479,6.2
Alice in Wonderland,2010,233367,6.5
Alice in Wonderland: An X-Rated Musical Fantasy,1976,1837,6.4
Alice in den Stâdten,1974,4258,8
Alice ou la derniÀre fugue,1977,520,7
Alice's Adventures in Wonderland,1972,1058,5.8
Alice's Restaurant,1969,2884,6.3
Alien,1979,400604,8.5
Alien 2 - Sulla terra,1980,604,4
Alien Abduction,2005,1072,2.6
Alien Abduction,2014,698,5.1
Alien Abduction: Incident in Lake County,1998,2096,6.5
Alien Agent,2007,998,4.2
Alien Apocalypse,2005,3002,4.5
Alien Armageddon,2011,887,2
Alien Autopsy,2006,5951,5.7
Alien Cargo,1999,724,5.6
Alien Dawn,2012,621,2.2
Alien Hunter,2003,3108,5.1
Alien Lockdown,2004,568,3.9
Alien Nation,1988,9463,6.2
Alien Nation: Body and Soul,1995,530,6.5
Alien Nation: Dark Horizon,1994,770,6.6
Alien Origin,2012,1042,1.9
Alien Planet,2005,1082,7.3
Alien Predator,1985,580,3
Alien Raiders,2008,7133,5.6
Alien Siege,2005,715,3.6
Alien Tornado,2012,532,3.1
Alien Trespass,2009,2956,5.7
Alien from L.A.,1988,2596,3
Alien vs. Ninja,2010,1622,4.4
Alien: Resurrection,1997,128872,6.3
Alienator,1990,731,2.5
Aliens,1986,362230,8.5
Aliens in the Attic,2009,13262,5.4
Aliens of the Deep,2005,1917,6.5
Aliens vs. Avatars,2011,1202,1.5
Alien?,1992,156022,6.4
Alive,1993,31369,7
Alive,2002,1127,5.9
Alive in Joburg,2006,2499,7.7
Alive or Dead,2008,657,3
All About Anna,2005,1287,4.5
All About Eve,1950,63092,8.4
All About Evil,2010,829,6.3
All About Steve,2009,26740,4.8
All About the Benjamins,2002,8214,5.6
All Babes Want to Kill Me,2005,2224,4.8
All Dogs Go to Heaven,1989,19659,6.6
All Dogs Go to Heaven 2,1996,3172,5.2
All Fall Down,1962,1099,7
All Forgotten,2001,545,5.2
All Good Things,2010,30112,6.3
All Hallows' Eve,2013,910,4.5
All I Desire,1953,817,7.1
All I Want for Christmas,1991,2463,5.9
All In,2006,1168,3.6
All Is Bright,2013,2914,5.6
All Is Lost,2013,33357,6.9
All Mine to Give,1957,665,7.1
All My Sons,1948,905,7.5
All Night Long,1981,1167,6
All Over Me,1997,2468,6.6
All Over the Guy,2001,3438,6.6
All Quiet on the Western Front,1930,41068,8.1
All Quiet on the Western Front,1979,4790,7.1
All Roads Lead Home,2008,539,5.9
All Souls Day: Dia de los Muertos,2005,1217,3.8
All Stars,1997,1808,7.2
All Stars,2013,533,4.7
All Stars 2: Old Stars,2011,1183,6.1
All Superheroes Must Die,2011,1443,3.9
All That Heaven Allows,1955,6748,7.6
All That Jazz,1979,15408,7.8
All That Money Can Buy,1941,3003,7.8
All Things Fall Apart,2011,1635,5.4
All Things to All Men,2013,653,4.4
"All This, and Heaven Too",1940,2615,7.7
All Through the Night,1941,2140,7.2
All You've Got,2006,959,4.3
All of Me,1984,11154,6.7
All or Nothing,2002,7047,7.6
All the Best: Fun Begins,2009,2663,6
All the Boys Love Mandy Lane,2006,20919,5.6
All the Brothers Were Valiant,1953,571,6.4
All the Days Before Tomorrow,2007,556,6.2
All the Fine Young Cannibals,1960,551,6
All the Invisible Children,2005,2861,7.6
All the King's Men,1949,7699,7.6
All the King's Men,1999,607,7.1
All the King's Men,2006,18640,6.2
All the Little Animals,1998,2019,7.1
All the President's Men,1976,58433,8
All the Pretty Horses,2000,10186,5.8
All the Queen's Men,2001,2093,4.5
All the Rage,1999,1560,5.6
All the Real Girls,2003,8357,7
All the Right Moves,1983,10113,5.9
All's Faire in Love,2009,534,5
All-American Murder,1991,660,4
All-Star Superman,2011,6313,7
Alla vi barn i Bullerbyn,1986,981,6.7
Alla âlskar Alice,2002,704,5.7
Allan Quatermain and the Lost City of Gold,1986,5946,4.3
Allan Quatermain and the Temple of Skulls,2008,971,2.8
Alle Anderen,2009,2099,6.6
Alle for to,2013,641,6
Alle for »n,2011,1092,5.6
Alle tijd,2011,524,6.8
Alleen maar nette mensen,2012,1434,5.8
Allegheny Uprising,1939,879,6.4
Allegro,2005,1550,6.7
Allegro non troppo,1976,1757,7.6
Alles auf Zucker!,2004,2272,6.9
Alles is familie,2012,2264,6.7
Alles is liefde,2007,5048,7.1
Alley Cats Strike,2000,1100,6.1
Alligator,1980,6590,5.9
Alligator II: The Mutation,1991,1211,3.3
Allonsanfán,1974,545,7.2
Allt flyter,2008,951,5.8
Allt om min buske,2007,517,3.4
Alma,2009,1188,7.4
Almanya - Willkommen in Deutschland,2011,3661,7.2
Almighty Thor,2011,1877,1.8
Almost Blue,2000,501,5.6
Almost Famous,2000,169034,8
Almost Heroes,1998,11391,5.7
Almost Normal,2005,911,5.5
Almost an Angel,1990,2627,5.4
"Aloha, Scooby-Doo!",2005,872,6.3
Alois Nebel,2011,839,6.7
Alone,2002,546,4.5
Alone,2007,3222,6.6
Alone in the Dark,1982,2020,6.2
Alone in the Dark,2005,34283,2.3
Alone in the Dark II,2008,4240,3.5
Alone in the Wilderness,2004,1969,9
Alone with Her,2006,2347,6.2
Along Came Jones,1945,1067,6.5
Along Came Polly,2004,90746,5.9
